seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss,survived,died,fallback_steps,optimistic_fallback_steps
31279,279,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 6}",6,-5,0,0,1,1,0,0,0
31280,280,4,our_agent,5,0,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 1}",5,0,0,1,0,1,0,0,0
31281,281,4,our_agent,6,1,1,0,400,0,8,2,2,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 6}",6,0,0,1,0,1,0,0,0
31282,282,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 8}",8,-7,0,0,1,1,0,0,0
31283,283,4,our_agent,6,1,1,0,118,2,9,2,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 4}",8,-2,0,0,1,0,1,3,0
31284,284,4,our_agent,2,2,0,0,107,1,9,1,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",8,-6,0,0,1,0,1,4,0
31285,285,4,our_agent,1,1,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 10, ""rule_based_agent_2"": 3}",10,-9,0,0,1,1,0,0,0
31286,286,4,our_agent,2,2,0,0,400,1,9,0,2,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",5,-3,0,0,1,1,0,0,0
31287,287,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",5,-4,0,0,1,1,0,0,0
31288,288,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-2,0,0,1,1,0,1,0
31289,289,4,our_agent,2,2,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,-1,0,0,1,1,0,0,0
31290,290,4,our_agent,3,3,0,0,108,1,9,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 3}",5,-2,0,0,1,0,1,2,0
31291,291,4,our_agent,8,3,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,5,1,0,0,1,0,0,0
31292,292,4,our_agent,5,5,0,0,137,1,9,3,2,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 10}",10,-5,0,0,1,0,1,4,0
31293,293,4,our_agent,5,5,0,0,342,0,9,0,3,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",2,3,1,0,0,1,0,0,0
31294,294,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",4,-1,0,0,1,1,0,0,0
31295,295,4,our_agent,9,4,1,0,400,0,9,2,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 1}",8,1,1,0,0,1,0,0,0
31296,296,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",3,0,0,1,0,1,0,0,0
31297,297,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 8}",8,-6,0,0,1,1,0,0,0
31298,298,4,our_agent,2,2,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,0,0,1,0,1,0,0,0
31299,299,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",3,0,0,1,0,1,0,0,0
